iteration,body_id,name,mass,x,y,z,vx,vy,vz
66,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95029,-3.81663,-7.52845
67,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52922,2.10956,-5.17462
67,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20421,-3.30301,-5.81724
67,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95026,-3.81711,-7.52858
68,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52931,2.1095,-5.17446
68,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20413,-3.30293,-5.81739
68,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95024,-3.81759,-7.52871
69,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52939,2.10944,-5.1743
69,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20406,-3.30285,-5.81754
69,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95021,-3.81806,-7.52884
70,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52947,2.10938,-5.17413
70,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20398,-3.30277,-5.81769
70,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95019,-3.81854,-7.52896
71,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52955,2.10932,-5.17397
71,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.2039,-3.30269,-5.81783
71,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95016,-3.81902,-7.52909
72,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52964,2.10925,-5.17381
72,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20383,-3.30261,-5.81798
72,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95014,-3.8195,-7.52922
73,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52972,2.10919,-5.17365
73,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20375,-3.30253,-5.81813
73,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95011,-3.81997,-7.52935
74,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.5298,2.10913,-5.17348
74,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20367,-3.30246,-5.81828
74,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95009,-3.82045,-7.52947
75,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52988,2.10907,-5.17332
75,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.2036,-3.30238,-5.81843
75,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95006,-3.82093,-7.5296
76,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52997,2.109,-5.17316
76,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20352,-3.3023,-5.81857
76,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95004,-3.8214,-7.52973
77,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.53005,2.10894,-5.17299
77,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20344,-3.30222,-5.81872
77,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95001,-3.82188,-7.52986
